date,performance,accessibility,best_practices,seo
2026-05-20,51.96,92.11,83.7,89.49
2026-05-21,51.15,91.91,84.18,89.58
2026-05-22,53.89,92.41,83.71,89.44
2026-05-23,51.44,92.38,83.88,89.55
2026-05-24,53.31,92.29,83.54,88.85
2026-05-25,53.05,92.09,83.97,88.73
2026-05-26,0,0,0,0
2026-05-27,53.41,92.49,84.32,89.5
2026-05-28,52.7,92.26,83.74,88.13
2026-05-29,52.32,92.17,84.31,88.84
2026-05-30,52.92,92.09,83.54,89.16
2026-05-31,55.27,91.74,83.52,90.35
2026-06-01,57.35,92.16,84.71,90.1
2026-06-02,52.78,91.98,84.2,89.4
2026-06-03,53.99,92.03,83.36,89.48
2026-06-04,52.36,92.05,83.07,89.41
2026-06-05,55.42,92.18,83.41,90.45
2026-06-06,53.32,91.56,83.39,88.79
2026-06-07,53.23,91.03,83.71,89.33
2026-06-08,51.77,91.57,82.73,89.18
2026-06-09,54.38,91.07,85.17,89.22
2026-06-10,55,92.05,84.53,88.89
2026-06-11,51.8,91.23,84.29,88.38
2026-06-12,51.82,91.43,84,89.94
2026-06-13,52.02,92.27,84.43,89.7
2026-06-14,52.31,91.88,83.26,89.34
2026-06-15,53.06,91.26,84.65,89.37
2026-06-16,52.54,91.88,84.71,89.46
2026-06-17,51.68,90.82,84.12,89.91
2026-06-18,52.91,90.98,83.96,88.6
2026-06-19,0,0,0,0
